,precision,recall,f1-score,support
AnnualCrop,0.9555555555555556,0.9555555555555556,0.9555555555555556,90.0
Forest,0.9782608695652174,1.0,0.989010989010989,90.0
HerbaceousVegetation,0.9545454545454546,0.9333333333333333,0.9438202247191012,90.0
Highway,0.9456521739130435,0.9666666666666667,0.956043956043956,90.0
Industrial,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0
Pasture,0.9318181818181818,0.9111111111111111,0.9213483146067416,90.0
PermanentCrop,0.9340659340659341,0.9444444444444444,0.9392265193370165,90.0
Residential,0.989010989010989,1.0,0.994475138121547,90.0
River,0.9438202247191011,0.9333333333333333,0.9385474860335196,90.0
SeaLake,0.9887640449438202,0.9777777777777777,0.9832402234636872,90.0
accuracy,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111
macro avg,0.9610382317026186,0.961111111111111,0.9610157295781002,900.0
weighted avg,0.9610382317026185,0.9611111111111111,0.9610157295781003,900.0
