,precision,recall,f1-score,support
AnnualCrop,0.7326732673267327,0.8222222222222222,0.774869109947644,90.0
Forest,0.9120879120879121,0.9222222222222223,0.9171270718232044,90.0
HerbaceousVegetation,0.7468354430379747,0.6555555555555556,0.698224852071006,90.0
Highway,0.5151515151515151,0.37777777777777777,0.4358974358974359,90.0
Industrial,0.8118811881188119,0.9111111111111111,0.8586387434554974,90.0
Pasture,0.801980198019802,0.9,0.8481675392670157,90.0
PermanentCrop,0.7108433734939759,0.6555555555555556,0.6820809248554914,90.0
Residential,0.7307692307692307,0.8444444444444444,0.7835051546391751,90.0
River,0.6344086021505376,0.6555555555555556,0.644808743169399,90.0
SeaLake,0.9629629629629629,0.8666666666666667,0.912280701754386,90.0
accuracy,0.7611111111111111,0.7611111111111111,0.7611111111111111,0.7611111111111111
macro avg,0.7559593693119455,0.7611111111111111,0.7555600276880254,900.0
weighted avg,0.7559593693119455,0.7611111111111111,0.7555600276880255,900.0
