,precision,recall,f1-score,support
AnnualCrop,0.9666666666666667,0.9666666666666667,0.9666666666666667,90.0
Forest,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0
HerbaceousVegetation,0.946236559139785,0.9777777777777777,0.9617486338797814,90.0
Highway,0.967741935483871,1.0,0.9836065573770492,90.0
Industrial,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0
Pasture,0.9444444444444444,0.9444444444444444,0.9444444444444444,90.0
PermanentCrop,0.9767441860465116,0.9333333333333333,0.9545454545454545,90.0
Residential,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0
River,0.9777777777777777,0.9777777777777777,0.9777777777777777,90.0
SeaLake,0.9886363636363636,0.9666666666666667,0.9775280898876404,90.0
accuracy,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334
macro avg,0.9734914599862087,0.9733333333333334,0.9732984291245481,900.0
weighted avg,0.9734914599862087,0.9733333333333334,0.9732984291245481,900.0
